,HCPCS,DESCRIPTION,WORK RVU,FACILITY PE RVU,MP RVU,FACILITY TOTAL
0,A0021,Outside state ambulance serv,0.0,0.0,0.0,0.0
1,A0080,Noninterest escort in non er,0.0,0.0,0.0,0.0
2,A0090,Interest escort in non er,0.0,0.0,0.0,0.0
3,A0100,Nonemergency transport taxi,0.0,0.0,0.0,0.0
4,A0110,Nonemergency transport bus,0.0,0.0,0.0,0.0
5,A0120,Noner transport mini-bus,0.0,0.0,0.0,0.0
6,A0130,Noner transport wheelch van,0.0,0.0,0.0,0.0
7,A0140,Nonemergency transport air,0.0,0.0,0.0,0.0
8,A0160,Noner transport case worker,0.0,0.0,0.0,0.0
9,A0170,Transport parking fees/tolls,0.0,0.0,0.0,0.0
10,A0180,Noner transport lodgng recip,0.0,0.0,0.0,0.0
11,A0190,Noner transport meals recip,0.0,0.0,0.0,0.0
12,A0200,Noner transport lodgng escrt,0.0,0.0,0.0,0.0
13,A0210,Noner transport meals escort,0.0,0.0,0.0,0.0
14,A0225,Neonatal emergency transport,0.0,0.0,0.0,0.0
15,A0380,Basic life support mileage,0.0,0.0,0.0,0.0
16,A0382,Basic support routine suppls,0.0,0.0,0.0,0.0
17,A0384,Bls defibrillation supplies,0.0,0.0,0.0,0.0
18,A0390,Advanced life support mileag,0.0,0.0,0.0,0.0
19,A0392,Als defibrillation supplies,0.0,0.0,0.0,0.0
20,A0394,Als iv drug therapy supplies,0.0,0.0,0.0,0.0
21,A0396,Als esophageal intub suppls,0.0,0.0,0.0,0.0
22,A0398,Als routine disposble suppls,0.0,0.0,0.0,0.0
23,A0420,Ambulance waiting 1/2 hr,0.0,0.0,0.0,0.0
24,A0422,Ambulance 02 life sustaining,0.0,0.0,0.0,0.0
25,A0424,Extra ambulance attendant,0.0,0.0,0.0,0.0
26,A0425,Ground mileage,0.0,0.0,0.0,0.0
27,A0426,Als 1,0.0,0.0,0.0,0.0
28,A0427,Als1-emergency,0.0,0.0,0.0,0.0
29,A0428,Bls,0.0,0.0,0.0,0.0
30,A0429,Bls-emergency,0.0,0.0,0.0,0.0
31,A0430,Fixed wing air transport,0.0,0.0,0.0,0.0
32,A0431,Rotary wing air transport,0.0,0.0,0.0,0.0
33,A0432,Pi volunteer ambulance co,0.0,0.0,0.0,0.0
34,A0433,Als 2,0.0,0.0,0.0,0.0
35,A0434,Specialty care transport,0.0,0.0,0.0,0.0
36,A0435,Fixed wing air mileage,0.0,0.0,0.0,0.0
37,A0436,Rotary wing air mileage,0.0,0.0,0.0,0.0
38,A0888,Noncovered ambulance mileage,0.0,0.0,0.0,0.0
39,A0998,Ambulance response/treatment,0.0,0.0,0.0,0.0
40,A0999,Unlisted ambulance service,0.0,0.0,0.0,0.0
41,A2001,"Innovamatrix ac, per sq cm",0.0,0.0,0.0,0.0
42,A2002,Mirragen adv wnd mat per sq,0.0,0.0,0.0,0.0
43,A2004,"Xcellistem, per sq cm",0.0,0.0,0.0,0.0
44,A2005,"Microlyte matrix, per sq cm",0.0,0.0,0.0,0.0
45,A2006,Novosorb synpath per sq cm,0.0,0.0,0.0,0.0
46,A2007,"Restrata, per sq cm",0.0,0.0,0.0,0.0
47,A2008,"Theragenesis, per sq cm",0.0,0.0,0.0,0.0
48,A2009,"Symphony, per sq cm",0.0,0.0,0.0,0.0
49,A2010,"Apis, per square centimeter",0.0,0.0,0.0,0.0
50,A4206,1 cc sterile syringe&needle,0.0,0.0,0.0,0.0
51,A4207,2 cc sterile syringe&needle,0.0,0.0,0.0,0.0
52,A4208,3 cc sterile syringe&needle,0.0,0.0,0.0,0.0
53,A4209,5+ cc sterile syringe&needle,0.0,0.0,0.0,0.0
54,A4210,Nonneedle injection device,0.0,0.0,0.0,0.0
55,A4211,Supp for self-adm injections,0.0,0.0,0.0,0.0
56,A4212,Non coring needle or stylet,0.0,0.0,0.0,0.0
57,A4213,20+ cc syringe only,0.0,0.0,0.0,0.0
58,A4215,Sterile needle,0.0,0.0,0.0,0.0
59,A4216,"Sterile water/saline, 10 ml",0.0,0.0,0.0,0.0
60,A4217,"Sterile water/saline, 500 ml",0.0,0.0,0.0,0.0
61,A4218,Sterile saline or water,0.0,0.0,0.0,0.0
62,A4220,Infusion pump refill kit,0.0,0.0,0.0,0.0
63,A4221,Supp non-insulin inf cath/wk,0.0,0.0,0.0,0.0
64,A4222,Infusion supplies with pump,0.0,0.0,0.0,0.0
65,A4223,Infusion supplies w/o pump,0.0,0.0,0.0,0.0
66,A4224,Supply insulin inf cath/wk,0.0,0.0,0.0,0.0
67,A4225,Sup/ext insulin inf pump syr,0.0,0.0,0.0,0.0
68,A4226,Weekly supply maint cgs pump,0.0,0.0,0.0,0.0
69,A4230,Infus insulin pump non needl,0.0,0.0,0.0,0.0
70,A4231,Infusion insulin pump needle,0.0,0.0,0.0,0.0
71,A4232,Syringe w/needle insulin 3cc,0.0,0.0,0.0,0.0
72,A4233,Alkalin batt for glucose mon,0.0,0.0,0.0,0.0
73,A4234,J-cell batt for glucose mon,0.0,0.0,0.0,0.0
74,A4235,Lithium batt for glucose mon,0.0,0.0,0.0,0.0
75,A4236,Silvr oxide batt glucose mon,0.0,0.0,0.0,0.0
76,A4244,Alcohol or peroxide per pint,0.0,0.0,0.0,0.0
77,A4245,Alcohol wipes per box,0.0,0.0,0.0,0.0
78,A4246,Betadine/phisohex solution,0.0,0.0,0.0,0.0
79,A4247,Betadine/iodine swabs/wipes,0.0,0.0,0.0,0.0
80,A4248,Chlorhexidine antisept,0.0,0.0,0.0,0.0
81,A4250,Urine reagent strips/tablets,0.0,0.0,0.0,0.0
82,A4252,Blood ketone test or strip,0.0,0.0,0.0,0.0
83,A4253,Blood glucose/reagent strips,0.0,0.0,0.0,0.0
84,A4255,Glucose monitor platforms,0.0,0.0,0.0,0.0
85,A4256,Calibrator solution/chips,0.0,0.0,0.0,0.0
86,A4257,Replace lensshield cartridge,0.0,0.0,0.0,0.0
87,A4258,Lancet device each,0.0,0.0,0.0,0.0
88,A4259,Lancets per box,0.0,0.0,0.0,0.0
89,A4261,Cervical cap contraceptive,0.0,0.0,0.0,0.0
90,A4262,Temporary tear duct plug,0.0,0.0,0.0,0.0
91,A4263,Permanent tear duct plug,0.0,0.0,0.0,0.0
92,A4264,Intratubal occlusion device,0.0,0.0,0.0,0.0
93,A4265,Paraffin,0.0,0.0,0.0,0.0
94,A4266,Diaphragm,0.0,0.0,0.0,0.0
95,A4267,Male condom,0.0,0.0,0.0,0.0
96,A4268,Female condom,0.0,0.0,0.0,0.0
97,A4269,Spermicide,0.0,0.0,0.0,0.0
98,A4270,Disposable endoscope sheath,0.0,0.0,0.0,0.0
99,A4280,Brst prsths adhsv attchmnt,0.0,0.0,0.0,0.0
100,A4281,Replacement breastpump tube,0.0,0.0,0.0,0.0
101,A4282,Replacement breastpump adpt,0.0,0.0,0.0,0.0
102,A4283,Replacement breastpump cap,0.0,0.0,0.0,0.0
103,A4284,Replcmnt breast pump shield,0.0,0.0,0.0,0.0
104,A4285,Replcmnt breast pump bottle,0.0,0.0,0.0,0.0
105,A4286,Replcmnt breastpump lok ring,0.0,0.0,0.0,0.0
106,A4290,Sacral nerve stim test lead,0.0,0.0,0.0,0.0
107,A4300,Cath impl vasc access portal,0.0,0.0,0.0,0.0
108,A4301,Implantable access syst perc,0.0,0.0,0.0,0.0
109,A4305,Drug delivery system >=50 ml,0.0,0.0,0.0,0.0
110,A4306,Drug delivery system <=50 ml,0.0,0.0,0.0,0.0
111,A4310,Insert tray w/o bag/cath,0.0,0.0,0.0,0.0
112,A4311,Catheter w/o bag 2-way latex,0.0,0.0,0.0,0.0
113,A4312,Cath w/o bag 2-way silicone,0.0,0.0,0.0,0.0
114,A4313,Catheter w/bag 3-way,0.0,0.0,0.0,0.0
115,A4314,Cath w/drainage 2-way latex,0.0,0.0,0.0,0.0
116,A4315,Cath w/drainage 2-way silcne,0.0,0.0,0.0,0.0
